gen,avg,std,min,max
2,59.555555555555557,3.0951973949298042,66.0,54.0
4,61.111111111111114,2.8846122190549264,67.0,57.0
6,61.777777777777779,3.1544599036840864,69.0,57.0
8,63.222222222222221,3.7051848890073482,70.0,57.0
10,64.777777777777771,3.9377878103709669,71.0,58.0
12,65.444444444444443,4.4499965321112853,71.0,58.0
14,67.666666666666671,4.2946995755750423,73.0,58.0
16,69.111111111111114,2.9979416807182311,75.0,65.0
18,70.111111111111114,2.4241582476968255,75.0,67.0
20,71.111111111111114,2.6851213274654606,75.0,67.0
22,71.888888888888886,3.4462360931712941,78.0,67.0
24,73.222222222222229,2.9355210696939795,79.0,68.0
26,74.222222222222229,3.0469576001782421,79.0,68.0
28,73.777777777777771,3.0469576001782421,79.0,68.0
30,74.111111111111114,3.071172213574501,80.0,69.0
32,75.222222222222229,3.5832256659104669,81.0,69.0
34,76.222222222222229,3.0469576001782417,81.0,71.0
36,77.555555555555557,3.0951973949298042,83.0,72.0
38,77.888888888888886,2.9228769862146455,83.0,73.0
40,78.555555555555557,3.0951973949298042,83.0,73.0
42,79.0,3.2317865716108862,84.0,74.0
44,79.555555555555557,2.9481109247603552,84.0,74.0
46,80.111111111111114,3.0347778408328141,84.0,74.0
48,80.333333333333329,3.0550504633038935,84.0,74.0
50,80.666666666666671,3.1269438398822866,84.0,74.0
52,81.333333333333329,3.2317865716108862,86.0,75.0
54,81.666666666666671,3.0550504633038935,86.0,76.0
56,81.888888888888886,2.9606472432164952,86.0,77.0
58,82.222222222222229,2.6988795114424708,86.0,77.0
60,82.888888888888886,2.6010444246043614,86.0,77.0
62,83.555555555555557,2.8327886186626583,87.0,77.0
64,84.222222222222229,2.4845199749997664,88.0,79.0
66,85.222222222222229,1.7497795275581802,88.0,82.0
68,85.333333333333329,1.8257418583505538,88.0,82.0
70,85.444444444444443,1.9499920860871383,88.0,82.0
72,86.0,1.8856180831641267,88.0,82.0
74,86.444444444444443,1.8921540406584889,89.0,82.0
76,86.777777777777771,1.6850834320114556,89.0,83.0
78,87.333333333333329,1.6329931618554521,90.0,85.0
80,87.444444444444443,1.7708197167232473,90.0,85.0
82,87.555555555555557,1.7069212773041351,90.0,85.0
84,87.555555555555557,1.7069212773041351,90.0,85.0
86,87.888888888888886,1.8525924445036743,91.0,86.0
88,88.777777777777771,2.2986845406196892,93.0,86.0
90,89.0,2.4494897427831779,94.0,86.0
92,89.555555555555557,2.4545246704860579,94.0,86.0
94,89.777777777777771,2.2986845406196892,94.0,86.0
96,90.444444444444443,2.3622546250521443,94.0,86.0
98,90.555555555555557,2.2662308949301266,94.0,86.0
100,91.222222222222229,1.6178021976178929,94.0,89.0
