gen,avg,std,min,max
2,60.888888888888886,2.8458329944145992,64.0,56.0
4,62.333333333333336,3.9157800414902435,68.0,56.0
6,63.666666666666664,4.2426406871192848,70.0,56.0
8,64.888888888888886,3.7251232476089355,70.0,59.0
10,66.111111111111114,4.4831646670737815,72.0,59.0
12,66.888888888888886,4.8176629752619551,75.0,60.0
14,68.555555555555557,4.6454544356370828,75.0,62.0
16,69.333333333333329,4.6904157598234297,76.0,63.0
18,69.555555555555557,4.7401620017114539,76.0,62.0
20,70.333333333333329,4.1633319989322652,75.0,64.0
22,71.333333333333329,3.5901098714230026,75.0,64.0
24,72.333333333333329,3.6817870057290869,76.0,65.0
26,73.222222222222229,2.8196838978776713,76.0,68.0
28,73.777777777777771,3.083208205669246,77.0,68.0
30,74.666666666666671,2.1602468994692865,77.0,70.0
32,75.555555555555557,1.6405358955814888,78.0,73.0
34,76.111111111111114,1.9116278371205837,79.0,73.0
36,76.444444444444443,2.0061633428075321,79.0,73.0
38,76.777777777777771,2.0964402515681342,80.0,73.0
40,77.888888888888886,2.0245407953653998,80.0,75.0
42,78.777777777777771,1.987615979999813,81.0,75.0
44,79.444444444444443,2.1659542988464362,83.0,75.0
46,79.333333333333329,2.2110831935702664,83.0,76.0
48,80.666666666666671,2.9814239699997196,84.0,76.0
50,81.0,2.5819888974716112,85.0,76.0
52,81.888888888888886,1.9688939051854835,85.0,79.0
54,82.222222222222229,2.4393887111222385,87.0,79.0
56,82.555555555555557,2.408831487630978,87.0,79.0
58,82.666666666666671,2.3094010767585029,87.0,79.0
60,83.111111111111114,2.3306863292670035,87.0,81.0
62,83.111111111111114,1.9116278371205837,87.0,81.0
64,83.777777777777771,1.8121673811444545,87.0,81.0
66,84.222222222222229,2.1998877636914811,88.0,81.0
68,84.555555555555557,2.3147407395555177,89.0,81.0
70,85.0,2.0548046676563256,89.0,82.0
72,85.777777777777771,2.0427529234278037,89.0,84.0
74,86.777777777777771,2.2986845406196892,91.0,84.0
76,86.666666666666671,2.3094010767585029,91.0,84.0
78,86.666666666666671,2.3094010767585029,91.0,84.0
80,87.0,2.3570226039551585,91.0,84.0
82,87.222222222222229,2.7799991118215122,93.0,84.0
84,88.111111111111114,3.5101264442069589,95.0,85.0
86,88.777777777777771,3.2584173996922625,95.0,85.0
88,88.666666666666671,2.8284271247461903,93.0,85.0
90,89.555555555555557,3.975231959999626,97.0,85.0
92,90.111111111111114,3.7251232476089355,97.0,86.0
94,90.0,3.7712361663282534,97.0,86.0
96,90.444444444444443,3.4354721852756236,97.0,86.0
98,91.555555555555557,3.7449554547450479,97.0,86.0
100,91.555555555555557,3.7449554547450479,97.0,86.0
